Strain,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,Colour
BEKA,0.135538954,0.141942369,0.108858058,0.013874066,0.059765208,0.069370331,0.022411953,0.016008538,0.01814301,0.037353255,0.140875133,0.037353255,0.060832444,0.023479189,0.114194237,Cameroon
KONT1/129,0.147275405,0.151693667,0.12371134,0.013254786,0.051546392,0.057437408,0.026509573,0.020618557,0.011782032,0.033873343,0.122238586,0.038291605,0.051546392,0.023564065,0.126656848,Cameroon
KONT2/133,0.13660619,0.132337247,0.102454642,0.011739594,0.065101387,0.075773746,0.032017076,0.005336179,0.013874066,0.048025614,0.134471718,0.037353255,0.057630736,0.024546425,0.122732124,Cameroon
KONT2/151,0.123529412,0.147058824,0.108235294,0.010588235,0.052941176,0.077647059,0.032941176,0.005882353,0.015294118,0.04,0.132941176,0.037647059,0.054117647,0.023529412,0.137647059,Cameroon
POUSS,0.108728943,0.113323124,0.105666156,0.018376723,0.061255743,0.079632466,0.045941807,0.009188361,0.007656968,0.026033691,0.127105666,0.062787136,0.055130168,0.018376723,0.160796325,Cameroon
DJUMA,0.101867572,0.118845501,0.071307301,0.010186757,0.032258065,0.03565365,0.100169779,0.008488964,0.01188455,0.0237691,0.130730051,0.071307301,0.049235993,0.030560272,0.203735144,Congo
MATADI,0.15625,0.151041667,0.090277778,0.017361111,0.105902778,0.027777778,0.017361111,0.008680556,0.015625,0.026041667,0.170138889,0.045138889,0.102430556,0.026041667,0.039930556,Congo - Forest sub-type
ZRE/AGRIUMBE G143 90,0.160377358,0.139622642,0.098113208,0.00754717,0.120754717,0.030188679,0.00754717,0.011320755,0.024528302,0.022641509,0.156603774,0.035849057,0.10754717,0.030188679,0.047169811,Congo - Forest sub-type
ZRE/NKUIYI G291 90,0.178509532,0.142114385,0.081455806,0.013864818,0.117850953,0.022530329,0.008665511,0.017331023,0.017331023,0.022530329,0.169844021,0.039861352,0.095320624,0.017331023,0.055459272,Congo - Forest sub-type
PAUWE73,0.119205298,0.138126774,0.090823084,0.006622517,0.063386944,0.071901608,0.028382214,0.008514664,0.010406812,0.028382214,0.141911069,0.041627247,0.071901608,0.017975402,0.160832545,Ethiopia
WETEJA F015,0.110922947,0.111769687,0.087214225,0.016934801,0.058425064,0.067739204,0.042337003,0.00592718,0.011007621,0.031329382,0.147332769,0.048264183,0.071972904,0.033022862,0.155800169,Ethiopia
YATU F187,0.150458716,0.118348624,0.093577982,0.022018349,0.055963303,0.066972477,0.026605505,0.009174312,0.017431193,0.035779817,0.153211009,0.046788991,0.062385321,0.032110092,0.109174312,Ethiopia
GUTR28,0.13996139,0.137065637,0.097490347,0.007722008,0.074324324,0.07046332,0.016409266,0.008687259,0.011583012,0.045366795,0.152509653,0.027992278,0.083976834,0.032818533,0.093629344,Gambia
GUTR37,0.124489796,0.134693878,0.096938776,0.013265306,0.083673469,0.079591837,0.032653061,0.012244898,0.01122449,0.035714286,0.120408163,0.030612245,0.06122449,0.030612245,0.132653061,Gambia
IL311,0.073326249,0.078639745,0.060573858,0.018065887,0.111583422,0.106269926,0.036131775,0.004250797,0.015940489,0.052072264,0.151965994,0.044633369,0.078639745,0.044633369,0.123273114,Gambia
IL3674,0.100110011,0.099009901,0.074807481,0.01650165,0.096809681,0.099009901,0.02970297,0.00770077,0.01650165,0.04950495,0.133113311,0.04620462,0.069306931,0.03960396,0.122112211,Gambia
IL3675,0.117801047,0.107329843,0.098167539,0.014397906,0.096858639,0.085078534,0.030104712,0.007853403,0.018324607,0.034031414,0.113874346,0.041884817,0.077225131,0.02486911,0.132198953,Gambia
IL274,0.102671119,0.116026711,0.08263773,0.014190317,0.08096828,0.081803005,0.050918197,0.003338898,0.016694491,0.02754591,0.126043406,0.040901503,0.063439065,0.028380634,0.164440735,Kenya
IL2992,0.112690355,0.096446701,0.078172589,0.011167513,0.050761421,0.05786802,0.070050761,0.016243655,0.012182741,0.031472081,0.12893401,0.056852792,0.064974619,0.034517766,0.177664975,Kenya
IL3000,0.073317308,0.039663462,0.049278846,0.018028846,0.060096154,0.055288462,0.054086538,0.025240385,0.012019231,0.060096154,0.141826923,0.099759615,0.061298077,0.078125,0.171875,Kenya
IL3019,0.105315948,0.099297894,0.074222668,0.011033099,0.054162487,0.056168506,0.076228686,0.016048144,0.013039117,0.029087262,0.138415246,0.058174524,0.063189569,0.034102307,0.171514544,Kenya
IL3021,0.11167002,0.10362173,0.078470825,0.011066398,0.054325956,0.056338028,0.073440644,0.016096579,0.011066398,0.028169014,0.126760563,0.058350101,0.062374245,0.03722334,0.171026157,Kenya
IL3022,0.116596639,0.101890756,0.080882353,0.010504202,0.058823529,0.06092437,0.068277311,0.007352941,0.013655462,0.029411765,0.12394958,0.05987395,0.06197479,0.036764706,0.169117647,Kenya
IL3035,0.12183908,0.113409962,0.081226054,0.018390805,0.066666667,0.06743295,0.042145594,0.008429119,0.021455939,0.031417625,0.152490421,0.042145594,0.07816092,0.022222222,0.13256705,Kenya
IL3180,0.110629067,0.09978308,0.075921909,0.013015184,0.053145336,0.055314534,0.070498915,0.013015184,0.013015184,0.018438178,0.134490239,0.05856833,0.060737527,0.035791757,0.187635575,Kenya
IL3349,0.101861993,0.100766703,0.070098576,0.007667032,0.059145674,0.061336254,0.073384447,0.008762322,0.009857612,0.036144578,0.133625411,0.053669222,0.069003286,0.038335159,0.176341731,Kenya
IL374,0.135494597,0.119700748,0.087281796,0.013300083,0.074812968,0.078969244,0.044887781,0.006650042,0.015793849,0.024937656,0.128844555,0.036575229,0.057356608,0.023275145,0.152119701,Kenya
IL3775,0.07605985,0.074812968,0.069825436,0.012468828,0.058603491,0.063591022,0.089775561,0.004987531,0.016209476,0.036159601,0.137157107,0.067331671,0.064837905,0.038653367,0.189526185,Kenya
IL3779,0.089655172,0.062068966,0.034482759,0.034482759,0.051724138,0.05862069,0.106896552,0.017241379,0.013793103,0.048275862,0.134482759,0.068965517,0.055172414,0.04137931,0.182758621,Kenya
IL3932,0.064606742,0.06741573,0.073033708,0.014044944,0.095505618,0.075842697,0.081460674,0.014044944,0.02247191,0.019662921,0.123595506,0.073033708,0.039325843,0.033707865,0.202247191,Kenya
IL3949,0.12804878,0.130081301,0.099593496,0.017276423,0.039634146,0.043699187,0.050813008,0.012195122,0.011178862,0.037601626,0.150406504,0.041666667,0.073170732,0.028455285,0.136178862,Kenya
IL396,0.129508197,0.112295082,0.089344262,0.012295082,0.081147541,0.079508197,0.048360656,0.004098361,0.013114754,0.022131148,0.119672131,0.040163934,0.058196721,0.022131148,0.168032787,Kenya
IL3978,0.068055556,0.05,0.038888889,0.0125,0.065277778,0.072222222,0.088888889,0.005555556,0.019444444,0.034722222,0.161111111,0.075,0.080555556,0.048611111,0.179166667,Kenya
IL399,0.128314799,0.108639863,0.094952951,0.011120616,0.076133447,0.078699743,0.047904192,0.005988024,0.015397776,0.026518392,0.122326775,0.03849444,0.065012831,0.020530368,0.159965783,Kenya
IL409,0.122263748,0.114789108,0.089161773,0.010144154,0.07367859,0.068339562,0.055525894,0.005872931,0.013881474,0.027762947,0.121195942,0.044313935,0.061932728,0.025093433,0.16604378,Kenya
IL410,0.103556485,0.112970711,0.094142259,0.012552301,0.074267782,0.075313808,0.052301255,0.005230126,0.013598326,0.020920502,0.120292887,0.038702929,0.074267782,0.018828452,0.183054393,Kenya
IL438,0.09297725,0.091988131,0.050445104,0.014836795,0.098911968,0.097922849,0.055390702,0,0.014836795,0.03066271,0.139465875,0.043521266,0.070227498,0.029673591,0.169139466,Kenya
IL439,0.118078176,0.117263844,0.087947883,0.013029316,0.080618893,0.07980456,0.048045603,0.004071661,0.01465798,0.027687296,0.122149837,0.038273616,0.058631922,0.026872964,0.16286645,Kenya
ILC55,0.021834061,0.03930131,0.026200873,0.008733624,0.122270742,0.126637555,0.096069869,0,0.008733624,0.021834061,0.152838428,0.048034934,0.07860262,0.030567686,0.218340611,Kenya
ILC66,0.129460581,0.121161826,0.097095436,0.012448133,0.075518672,0.07219917,0.046473029,0.008298755,0.011618257,0.02406639,0.121991701,0.037344398,0.065560166,0.019917012,0.156846473,Kenya
MALI/1312/95,0.131756757,0.132601351,0.086993243,0.01097973,0.091216216,0.096283784,0.032939189,0.005912162,0.014358108,0.03125,0.134290541,0.047297297,0.068412162,0.021959459,0.09375,Mali
MALI25239 B695,0.120362737,0.11788953,0.086562242,0.014014839,0.088211047,0.103874691,0.037098104,0.009892828,0.011541632,0.026380874,0.126133553,0.037922506,0.069249794,0.019785655,0.131079967,Mali
IL2281,0.1484375,0.150390625,0.107421875,0.016601563,0.065429688,0.067382813,0.012695313,0.008789063,0.017578125,0.032226563,0.153320313,0.032226563,0.071289063,0.028320313,0.087890625,Nigeria
IL3304,0.118333333,0.105,0.088333333,0.016666667,0.065,0.073333333,0.013333333,0.006666667,0.021666667,0.056666667,0.206666667,0.041666667,0.058333333,0.035,0.093333333,Nigeria
IL3954,0.138586957,0.116847826,0.08423913,0.024456522,0.076086957,0.08423913,0.020380435,0.00951087,0.017663043,0.036684783,0.141304348,0.043478261,0.080163043,0.028532609,0.097826087,Nigeria
Tc1/148,0.121089808,0.07568113,0.040363269,0.010090817,0.016145308,0.014127144,0.127144299,0.005045409,0.013118063,0.030272452,0.1160444,0.135216953,0.089808274,0.056508577,0.149344097,Nigeria
IL1180,0.134306569,0.119708029,0.100729927,0.026277372,0.072992701,0.077372263,0.020437956,0.01459854,0.02189781,0.035036496,0.118248175,0.051094891,0.081751825,0.024817518,0.100729927,Tanzania
IL1769,0.092920354,0.097345133,0.081858407,0.022123894,0.050884956,0.037610619,0.077433628,0.013274336,0.019911504,0.026548673,0.128318584,0.055309735,0.084070796,0.030973451,0.181415929,Tanzania
IL2068,0.066460587,0.051004637,0.034003091,0.027820711,0.049459042,0.061823802,0.086553323,0.00309119,0.018547141,0.040185471,0.187017002,0.066460587,0.083462133,0.041731066,0.182380216,Tanzania
IL3296,0.075409836,0.068852459,0.055737705,0.006557377,0.06557377,0.078688525,0.032786885,0,0.029508197,0.02295082,0.226229508,0.062295082,0.101639344,0.02295082,0.150819672,Tanzania
IL3686,0.122362869,0.088607595,0.067510549,0.012658228,0.046413502,0.088607595,0.080168776,0.012658228,0.016877637,0.029535865,0.105485232,0.063291139,0.080168776,0.029535865,0.156118143,Tanzania
IL3688,0.117549669,0.098509934,0.071192053,0.017384106,0.052980132,0.052980132,0.072847682,0.007450331,0.013245033,0.038907285,0.139072848,0.053807947,0.067880795,0.02897351,0.167218543,Tanzania
ILC22,0.129460581,0.121161826,0.097095436,0.012448133,0.075518672,0.07219917,0.046473029,0.008298755,0.011618257,0.02406639,0.121991701,0.037344398,0.065560166,0.019917012,0.156846473,Tanzania
TOGO222,0.136595311,0.142711519,0.111111111,0.013251784,0.062181448,0.069317023,0.026503568,0.01019368,0.019367992,0.0254842,0.133537207,0.039755352,0.060142712,0.013251784,0.136595311,Togo
TOGO2264,0.15092291,0.142236699,0.115092291,0.019543974,0.060803474,0.072747014,0.027144408,0.013029316,0.017372421,0.049945711,0.143322476,0.030401737,0.064060803,0.021715527,0.071661238,Togo
IL2326,0.06323185,0.046838407,0.018735363,0.030444965,0.035128806,0.058548009,0.098360656,0.007025761,0.009367681,0.037470726,0.18969555,0.074941452,0.100702576,0.044496487,0.18501171,Uganda
IL588,0.097727273,0.079545455,0.029545455,0.006818182,0.081818182,0.097727273,0.045454545,0,0.009090909,0.045454545,0.156818182,0.043181818,0.052272727,0.045454545,0.209090909,Uganda
EATRO1157C2,0.116544417,0.122249389,0.08394458,0.011409943,0.084759576,0.076609617,0.027709861,0.007334963,0.009779951,0.023634882,0.141809291,0.049714751,0.071719641,0.022819886,0.14995925,Uganda
ALICK 339 C6,0.085393258,0.116853933,0.083146067,0.011235955,0.051685393,0.049438202,0.076404494,0.008988764,0.004494382,0.02247191,0.157303371,0.065168539,0.047191011,0.026966292,0.193258427,Zambia
CHIPOPELA 313,0.111924686,0.118200837,0.087866109,0.014644351,0.038702929,0.050209205,0.067991632,0.008368201,0.017782427,0.018828452,0.148535565,0.04916318,0.075313808,0.035564854,0.156903766,Zambia
J4J4,0.108593012,0.098205855,0.074598678,0.013220019,0.06421152,0.065155807,0.057601511,0.005665722,0.010387158,0.028328612,0.144475921,0.051935788,0.07082153,0.030217186,0.176581681,Zambia
KAPEVE 27 PC2,0.155945419,0.155945419,0.111111111,0.011695906,0.044834308,0.048732943,0.013645224,0.007797271,0.007797271,0.035087719,0.152046784,0.052631579,0.066276803,0.031189084,0.105263158,Zambia
KAPEYA 357,0.12372449,0.116071429,0.099489796,0.021683673,0.053571429,0.056122449,0.052295918,0.011479592,0.019132653,0.028061224,0.154336735,0.044642857,0.070153061,0.035714286,0.113520408,Zambia
KASANDA 20 C4,0.149230769,0.138461538,0.101538462,0.012307692,0.024615385,0.04,0.046153846,0.015384615,0.009230769,0.035384615,0.135384615,0.053846154,0.067692308,0.036923077,0.133846154,Zambia
LOMBO 3020 C1,0.118120805,0.11409396,0.11409396,0.020134228,0.059060403,0.056375839,0.026845638,0.010738255,0.020134228,0.037583893,0.190604027,0.053691275,0.069798658,0.028187919,0.080536913,Zambia
MPHITA 4028 C1,0.12173913,0.130434783,0.092173913,0.012173913,0.04,0.046956522,0.026086957,0.006956522,0.012173913,0.027826087,0.166956522,0.050434783,0.074782609,0.029565217,0.16173913,Zambia
MSORO M19 C1,0.130580357,0.146205357,0.103794643,0.013392857,0.041294643,0.042410714,0.056919643,0.015625,0.018973214,0.017857143,0.131696429,0.0390625,0.060267857,0.033482143,0.1484375,Zambia
MSOSORO M7 C1,0.117091596,0.118035883,0.090651558,0.023607177,0.039660057,0.044381492,0.065155807,0.007554297,0.017941454,0.033994334,0.153918791,0.043437205,0.079320113,0.031161473,0.134088763,Zambia
TRT1,0.136406397,0.127939793,0.096895579,0.013170273,0.068673565,0.075258702,0.021636877,0.008466604,0.016933208,0.030103481,0.139228598,0.043273754,0.0724365,0.022577611,0.126999059,Zambia
TRT12,0.158751696,0.160108548,0.101763908,0.018995929,0.016282225,0.021709634,0.024423338,0.008141113,0.020352782,0.023066486,0.162822252,0.036635007,0.090909091,0.03256445,0.123473541,Zambia
TRT15,0.145992366,0.131679389,0.10019084,0.013358779,0.063931298,0.06870229,0.020038168,0.008587786,0.017175573,0.033396947,0.140267176,0.041984733,0.078244275,0.022900763,0.113549618,Zambia
TRT17C1,0.118181818,0.100909091,0.079090909,0.02,0.072727273,0.082727273,0.034545455,0.01,0.018181818,0.024545455,0.181818182,0.05,0.078181818,0.025454545,0.103636364,Zambia
TRT21,0.177272727,0.152272727,0.109090909,0.029545455,0.040909091,0.047727273,0.045454545,0.020454545,0.013636364,0.025,0.125,0.040909091,0.056818182,0.011363636,0.104545455,Zambia
TRT25,0.153846154,0.142389525,0.093289689,0.034369885,0.034369885,0.031096563,0.036006547,0.024549918,0.016366612,0.037643208,0.166939444,0.049099836,0.065466448,0.026186579,0.088379705,Zambia
TRT37,0.136701337,0.138187221,0.111441308,0.013372957,0.059435364,0.059435364,0.016344725,0.010401189,0.020802377,0.019316493,0.151560178,0.043090639,0.08320951,0.017830609,0.118870728,Zambia
TRT38,0.128583129,0.108927109,0.09009009,0.012285012,0.058968059,0.063882064,0.058149058,0.006552007,0.016380016,0.026208026,0.162162162,0.053235053,0.074529075,0.022932023,0.117117117,Zambia
TRT42,0.089041096,0.095890411,0.089041096,0.022260274,0.068493151,0.061643836,0.058219178,0.008561644,0.008561644,0.02739726,0.131849315,0.066780822,0.070205479,0.015410959,0.186643836,Zambia
TRT44,0.157681941,0.144204852,0.106469003,0.010781671,0.032345013,0.035040431,0.022911051,0.008086253,0.016172507,0.030997305,0.148247978,0.04851752,0.082210243,0.014824798,0.141509434,Zambia
TRT46,0.133779264,0.132664437,0.105908584,0.013377926,0.046822742,0.053511706,0.045707915,0.00780379,0.015607581,0.022296544,0.151616499,0.04793757,0.086956522,0.028985507,0.107023411,Zambia
TRT54,0.141007194,0.142446043,0.110791367,0.018705036,0.024460432,0.031654676,0.017266187,0.008633094,0.020143885,0.023021583,0.168345324,0.041726619,0.089208633,0.041726619,0.120863309,Zambia
TRT573R,0.135185185,0.155555556,0.111111111,0.011111111,0.022222222,0.02037037,0.012962963,0.011111111,0.016666667,0.022222222,0.161111111,0.042592593,0.096296296,0.033333333,0.148148148,Zambia
TRT59,0.117391304,0.156521739,0.104347826,0.013043478,0.004347826,0.013043478,0.02173913,0.013043478,0.004347826,0.008695652,0.147826087,0.047826087,0.117391304,0.013043478,0.217391304,Zambia
TRT61,0.151855047,0.134598792,0.104400345,0.012942192,0.059534081,0.055220017,0.030198447,0.011216566,0.017256255,0.028472821,0.146678171,0.038826575,0.062122519,0.028472821,0.118205349,Zambia
YOBO 2007 C2,0.10994152,0.123976608,0.092397661,0.01871345,0.045614035,0.045614035,0.045614035,0.007017544,0.01754386,0.031578947,0.18245614,0.057309942,0.085380117,0.031578947,0.105263158,Zambia
YOBO 2038 C2,0.132764921,0.118148599,0.09500609,0.013398295,0.063337393,0.054811206,0.029232643,0.009744214,0.018270402,0.037758831,0.180267966,0.040194884,0.071863581,0.020706456,0.114494519,Zambia
