Strain,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,Colour
IL3978,0.038433384,0.04885685,0.036074811,0.00312528,0.003010252,-0.001461842,-0.031711239,0.002758594,-0.003166264,-0.001254602,-0.019559781,-0.02207685,-0.009524256,-0.015829151,-0.027575277,Kenya
IL2281,-0.04194856,-0.051533775,-0.032458175,-0.000976283,0.002858343,0.003377568,0.044482338,-0.000474913,-0.001299945,0.001241058,-0.011768983,0.020696588,-0.000257762,0.004461648,0.063700765,Nigeria
IL3304,-0.011844393,-0.00614315,-0.013369633,-0.001041387,0.00328803,-0.002572953,0.043844317,0.001647483,-0.005388487,-0.023199047,-0.065115337,0.011256483,0.012697967,-0.00221804,0.058258057,Nigeria
IL3954,-0.032098017,-0.017990976,-0.00927543,-0.008831242,-0.007798927,-0.01347875,0.036797215,-0.00119672,-0.001384863,-0.003217163,0.000246982,0.009444889,-0.009131743,0.004249351,0.053765303,Nigeria
IL1180,-0.027817629,-0.020851179,-0.025766227,-0.010652092,-0.004704671,-0.006611883,0.036739694,-0.00628439,-0.00561963,-0.001568876,0.023303155,0.001828259,-0.010720525,0.007964442,0.050861463,Tanzania
IL1769,0.013568586,0.001511717,-0.006894707,-0.006498614,0.017403074,0.033149761,-0.020255978,-0.004960186,-0.003633324,0.006918947,0.013232746,-0.002386585,-0.013039496,0.001808509,-0.029824539,Tanzania
IL2068,0.040028353,0.047852213,0.040960609,-0.012195431,0.018828988,0.008936578,-0.029375673,0.00522296,-0.002268961,-0.006717851,-0.045465672,-0.013537437,-0.012430833,-0.008949106,-0.030788826,Tanzania
IL3296,0.031079104,0.030004391,0.019225995,0.009067903,0.00271426,-0.007928145,0.024390765,0.00831415,-0.013230017,0.0105168,-0.084678178,-0.009371932,-0.030608044,0.00983114,0.000771718,Tanzania
IL3686,-0.015873929,0.010249255,0.007453151,0.002967052,0.021874528,-0.017847215,-0.022991126,-0.004344078,-0.000599457,0.003931755,0.036066098,-0.010367989,-0.009137476,0.003246095,-0.004526753,Tanzania
IL3688,-0.011060729,0.000346916,0.003771647,-0.001758826,0.015307898,0.017780248,-0.015670032,0.000863819,0.003033147,-0.005439665,0.002478482,-0.000884797,0.003150505,0.00380845,-0.015627153,Tanzania
ILC22,-0.022971641,-0.022304976,-0.022131736,0.003177147,-0.007230642,-0.00143879,0.010704621,1.53948E-05,0.004659923,0.00940123,0.019559629,0.015578752,0.005471134,0.012864948,-0.005255083,Tanzania
IL311,0.033162691,0.020217105,0.014389842,-0.002440607,-0.043295392,-0.035509546,0.021045875,0.004063353,0.000337691,-0.018604644,-0.010414664,0.008289781,-0.007608445,-0.011851409,0.028318276,The Gambia
IL3674,0.006378929,-0.000153051,0.000156219,-0.00087637,-0.028521651,-0.028249521,0.02747468,0.00061338,-0.00022347,-0.01603733,0.008438019,0.00671853,0.001724369,-0.006822,0.029479179,The Gambia
IL3675,-0.011312107,-0.008472993,-0.023203839,0.001227374,-0.028570609,-0.014318154,0.027072938,0.000460747,-0.002046427,-0.000563794,0.027676984,0.011038333,-0.006193831,0.00791285,0.019392437,The Gambia
IL2326,0.04325709,0.052018443,0.056228337,-0.014819685,0.033159224,0.012212371,-0.041183006,0.001288389,0.006910499,-0.004003106,-0.04814422,-0.022018302,-0.029671276,-0.011714527,-0.03342032,Uganda
IL588,0.008761667,0.019311395,0.045418245,0.008807098,-0.013530152,-0.026966893,0.011723105,0.00831415,0.007187271,-0.011986925,-0.015266852,0.009741332,0.018758573,-0.012672585,-0.057499519,Uganda
